품목,2020.1분기,2020.2분기,2020.3분기,2020.4분기
주류,8285,7818,8692,9241
담배류,5848,5762,6108,6210
육류 ,14585,11914,11960,11091
식품류,59616,52784,55145,55342
전자제품,114,136,163,133
조리기구,82,74,138,131
선박부품,3078,3132,3636,3359
악세사리,1,0,0,0
유류,1433,862,846,1041
조건부선용품,3778,3401,3334,3960
선박폐기물,0,0,0,0
기타,9740,8443,9353,8711
