,순번,구분,타입,계약면적(㎡),전용면적(㎡),대지면적(㎡),매매가,보증금 (단위: 만원),월세(단위:만원),주소,기타(세부주소)
209,210,명지동,월세,352.84,116.17,-,-,3000,150,부산시 강서구 명지동 단지내상가,단지내상가2층
210,211,명지동,월세,174.12,105,-,-,2000,70,부산시 강서구 명지동 일반상가,일반상가3층
211,212,명지동,월세,294,67.2,-,-,3000,160,부산시 강서구 명지동 일반상가,일반상가1층
212,213,명지동,월세,171.39,69.28,-,-,2000,100,부산시 강서구 명지동 단지내상가,단지내상가2층
213,214,명지동,월세,180.37,90.65,-,-,1000,60,부산시 강서구 명지동 일반상가 명지 청산오션타워,일반상가 명지 청산오션타워3층
214,215,명지동,월세,308.56,308,-,-,10000,1000,부산시 강서구 명지동 일반상가,일반상가1층
215,216,명지동,월세,449.82,190.84,-,-,3000,300,부산시 강서구 명지동 단지내상가,단지내상가2층
216,217,명지동,월세,324.1,187.5,-,-,3000,170,부산시 강서구 명지동 복합상가,복합상가4층
217,218,명지동,월세,325,137.09,-,-,2000,200,부산시 강서구 명지동 단지내상가 대방디엠시티 센텀오션1차,단지내상가 대방디엠시티 센텀오션1차2층
218,219,명지동,월세,203.93,122.4,-,-,2000,100,부산시 강서구 명지동 일반상가,일반상가2층
219,220,명지동,월세,273.05,273.05,-,-,10000,400,부산시 강서구 명지동 일반상가,일반상가2층
220,221,명지동,월세,273.05,273.05,-,-,10000,400,부산시 강서구 명지동 일반상가,일반상가2층
221,222,명지동,월세,188.32,109.61,-,-,3000,100,부산시 강서구 명지동 일반상가,일반상가2층
222,223,명지동,월세,214.25,124.7,-,-,3000,150,부산시 강서구 명지동 일반상가,일반상가3층
223,224,명지동,월세,215,182,-,-,3000,250,부산시 강서구 명지동 일반상가 바이크,일반상가 바이크1층
224,225,명지동,월세,276,159,-,-,2000,130,부산시 강서구 명지동 일반상가 퍼스트삼융,일반상가 퍼스트삼융3층
225,226,명지동,월세,166,103.09,-,-,2000,70,부산시 강서구 명지동 일반상가,일반상가6층
226,227,명지동,월세,165.45,103.1,-,-,2000,80,부산시 강서구 명지동 일반상가,일반상가7층
227,228,명지동,월세,166.31,103.63,-,-,2000,70,부산시 강서구 명지동 일반상가,일반상가9층
228,229,명지동,월세,521.74,400,-,-,10000,500,부산시 강서구 명지동 일반상가,일반상가1층
229,230,명지동,월세,188.08,175.56,-,-,3000,130,부산시 강서구 명지동 일반상가,일반상가5층
230,231,명지동,월세,297,252,-,-,10000,400,부산시 강서구 명지동 일반상가,일반상가2층
231,232,명지동,월세,462,289,-,-,2000,70,부산시 강서구 명지동 일반상가 대산골든스퀘어,일반상가 대산골든스퀘어5층
232,233,명지동,월세,207.27,207.27,-,-,5000,180,부산시 강서구 명지동 일반상가,일반상가6층
233,234,명지동,월세,234,140,-,-,2000,80,부산시 강서구 명지동 일반상가 플러스존2,일반상가 플러스존25층
234,235,명지동,월세,165.2,149.76,-,-,2000,130,부산시 강서구 명지동 중소형사무실,중소형사무실4층
235,236,명지동,월세,196,113,-,-,2000,140,부산시 강서구 명지동 중소형사무실 퍼스트삼융,중소형사무실 퍼스트삼융2층
236,237,명지동,월세,228.8,228.8,-,-,8000,300,부산시 강서구 명지동 일반상가,일반상가3층
237,238,명지동,월세,242.5,146.25,-,-,2000,160,부산시 강서구 명지동 일반상가,일반상가2층
238,239,명지동,월세,207.89,115.83,-,-,2000,90,부산시 강서구 명지동 단지내상가 플러스시티,단지내상가 플러스시티4층
239,240,명지동,월세,186.2,110.7,-,-,2000,100,부산시 강서구 명지동 일반상가,일반상가2층
240,241,명지동,월세,235.12,140.25,-,-,2000,120,부산시 강서구 명지동 일반상가,일반상가2층
241,242,명지동,월세,208.8,126,-,-,2000,100,부산시 강서구 명지동 일반상가,일반상가6층
242,243,명지동,월세,182.7,110.25,-,-,1000,100,부산시 강서구 명지동 일반상가 제이티프라자,일반상가 제이티프라자3층
243,244,명지동,월세,287,167.9,-,-,2000,100,부산시 강서구 명지동 일반상가 플러스타워,일반상가 플러스타워7층
244,245,명지동,월세,204,121,-,-,1000,100,부산시 강서구 명지동 일반상가 플러스존2,일반상가 플러스존22층
245,246,명지동,월세,287,167.9,-,-,2000,80,부산시 강서구 명지동 일반상가 플러스타워,일반상가 플러스타워7층
246,247,명지동,월세,338.2,149.4,-,-,3000,270,부산시 강서구 명지동 중소형사무실 퍼스트월드샤인1,중소형사무실 퍼스트월드샤인17층
247,248,명지동,월세,296.54,176.26,-,-,2000,150,부산시 강서구 명지동 일반상가,일반상가4층
248,249,명지동,월세,246,155,-,-,2000,100,부산시 강서구 명지동 일반상가 대산골든스퀘어,일반상가 대산골든스퀘어4층
249,250,명지동,월세,287.4,167.9,-,-,2000,100,부산시 강서구 명지동 일반상가1,일반상가10층
250,251,명지동,월세,200,135,-,-,2000,100,부산시 강서구 명지동 일반상가 네오웨스턴 스퀘어,일반상가 네오웨스턴 스퀘어3층
251,252,명지동,월세,200,150,-,-,3000,150,부산시 강서구 명지동 일반상가,일반상가3층
252,253,명지동,월세,222,128,-,-,2000,60,부산시 강서구 명지동 일반상가 대산골든스퀘어,일반상가 대산골든스퀘어6층
253,254,명지동,월세,223.98,129.88,-,-,3000,170,부산시 강서구 명지동 일반상가,일반상가2층
