,순번,구분,타입,계약면적(㎡),전용면적(㎡),대지면적(㎡),매매가,보증금 (단위: 만원),월세(단위:만원),주소,기타(세부주소)
397,398,명지동,월세,478.68,478.68,-,-,10000,500,부산시 강서구 명지동 일반상가 미강빌딩,일반상가 미강빌딩2층
398,399,명지동,월세,264.4,167.7,-,-,2000,90,부산시 강서구 명지동 일반상가 플러스타워1,일반상가 플러스타워10층
399,400,명지동,월세,279,163,-,-,2000,80,부산시 강서구 명지동 일반상가,일반상가6층
400,401,명지동,월세,171.74,75.85,-,-,3000,130,부산시 강서구 명지동 중소형사무실 더샵퍼스트월드 샤인1,중소형사무실 더샵퍼스트월드 샤인11층
401,402,명지동,월세,294.2,148,-,-,3000,250,부산시 강서구 명지동 일반상가,일반상가1층
402,403,명지동,월세,195,124.2,-,-,3000,280,부산시 강서구 명지동 일반상가,일반상가1층
403,404,명지동,월세,165.29,165.29,-,-,5000,155,부산시 강서구 명지동 일반상가,일반상가5층
404,405,명지동,월세,228,133.8,-,-,3000,220,부산시 강서구 명지동 일반상가 번성빌,일반상가 번성빌1층
405,406,명지동,월세,228,138.8,-,-,3000,200,부산시 강서구 명지동 일반상가,일반상가1층
406,407,명지동,월세,207,207,-,-,5000,180,부산시 강서구 명지동 일반상가,일반상가6층
407,408,명지동,월세,345.4,345.4,-,-,20000,1000,부산시 강서구 명지동 일반상가 더엠빌딩,일반상가 더엠빌딩4층
408,409,명지동,월세,521,400,-,-,10000,500,부산시 강서구 명지동 일반상가,일반상가1층
409,410,명지동,월세,1118,118,-,-,4000,230,부산시 강서구 명지동 일반상가,일반상가1층
410,411,명지동,월세,536.14,79.33,-,-,2000,144,부산시 강서구 명지동 단지내상가,단지내상가1층
411,412,명지동,월세,346.6,175.1,-,-,3000,100,부산시 강서구 명지동 복합상가 청산오션타워,복합상가 청산오션타워2층
412,413,명지동,월세,760,388.95,-,-,8000,450,부산시 강서구 명지동 일반상가,일반상가4층
413,414,명지동,월세,382.26,382.26,-,-,10000,500,부산시 강서구 명지동 일반상가,일반상가1층
414,415,명지동,월세,257.8,134.9,-,-,3000,200,부산시 강서구 명지동 일반상가,일반상가1층
415,416,명지동,월세,211.37,127.48,-,-,2000,130,부산시 강서구 명지동 일반상가1,일반상가10층
416,417,명지동,월세,536.14,79.33,-,-,2000,144,부산시 강서구 명지동 단지내상가,단지내상가1층
417,418,명지동,월세,287.6,167.96,-,-,2000,80,부산시 강서구 명지동 일반상가,일반상가6층
418,419,명지동,월세,286,126.31,-,-,3000,200,부산시 강서구 명지동 중소형사무실 더샵명지퍼스트월드 샤인2,중소형사무실 더샵명지퍼스트월드 샤인21층
419,420,명지동,월세,341.77,150.94,-,-,3000,200,부산시 강서구 명지동 대형사무실 더샵퍼스트월드 샤인1,대형사무실 더샵퍼스트월드 샤인15층
420,421,명지동,월세,287.6,167.96,-,-,3000,150,부산시 강서구 명지동 일반상가,일반상가2층
421,422,명지동,월세,807,216.53,-,-,5000,200,부산시 강서구 명지동 일반상가,일반상가1층
422,423,명지동,월세,261.1,137.1,-,-,2000,180,부산시 강서구 명지동 일반상가,일반상가1층
423,424,명지동,월세,228,140.4,-,-,2000,180,부산시 강서구 명지동 일반상가,일반상가1층
424,425,명지동,월세,228,140.4,-,-,2000,180,부산시 강서구 명지동 일반상가,일반상가1층
425,426,명지동,월세,197.1,38.1,-,-,3000,130,부산시 강서구 명지동 일반상가,일반상가1층
426,427,명지동,월세,406,224,-,-,2000,110,부산시 강서구 명지동 일반상가,일반상가9층
427,428,명지동,월세,195,104.7,-,-,3000,180,부산시 강서구 명지동 일반상가,일반상가1층
428,429,명지동,월세,294.2,171.9,-,-,2000,190,부산시 강서구 명지동 일반상가,일반상가1층
429,430,명지동,월세,274,274,-,-,10000,400,부산시 강서구 명지동 일반상가 대성빌딩,일반상가 대성빌딩2층
430,431,명지동,월세,184,106,-,-,1000,100,부산시 강서구 명지동 일반상가,일반상가4층
431,432,명지동,월세,181,104,-,-,1000,75,부산시 강서구 명지동 일반상가,일반상가7층
432,433,명지동,월세,201.38,130.9,-,-,2000,100,부산시 강서구 명지동 일반상가,일반상가4층
433,434,명지동,월세,228,140.3,-,-,2000,130,부산시 강서구 명지동 일반상가,일반상가1층
434,435,명지동,월세,210.9,104.4,-,-,5000,250,부산시 강서구 명지동 단지내상가,단지내상가1층
435,436,명지동,월세,250.4,131.4,-,-,2000,80,부산시 강서구 명지동 일반상가,일반상가3층
436,437,명지동,월세,875.1,464.86,-,-,6000,350,부산시 강서구 명지동 일반상가,일반상가3층
437,438,명지동,월세,174,105,-,-,1000,60,부산시 강서구 명지동 일반상가 에코팰리스,일반상가 에코팰리스8층
438,439,명지동,월세,1001.5,42.92,-,-,2000,130,부산시 강서구 명지동 복합상가,복합상가1층
439,440,명지동,월세,190.6,190.6,-,-,2000,250,부산시 강서구 명지동 일반상가,일반상가2층
440,441,명지동,월세,173,98,-,-,3000,120,부산시 강서구 명지동 일반상가 예성빌딩,일반상가 예성빌딩3층
441,442,명지동,월세,244.6,142.7,-,-,3000,190,부산시 강서구 명지동 일반상가,일반상가5층
442,443,명지동,월세,263.48,142.45,-,-,3000,200,부산시 강서구 명지동 일반상가,일반상가7층
443,444,명지동,월세,165.02,165.02,-,-,3000,300,부산시 강서구 명지동 일반상가,일반상가1층
444,445,명지동,월세,1149.54,1149.54,-,-,20000,1200,부산시 강서구 명지동 일반상가,일반상가7층
445,446,명지동,월세,197.1,38.1,-,-,3000,130,부산시 강서구 명지동 일반상가,일반상가1층
446,447,명지동,월세,321.7,187.62,-,-,2000,150,부산시 강서구 명지동 일반상가 대명프라자,일반상가 대명프라자2층
447,448,명지동,월세,521,400,-,-,10000,500,부산시 강서구 명지동 일반상가,일반상가1층
448,449,명지동,월세,228,111.4,-,-,2000,150,부산시 강서구 명지동 일반상가 부성빌,일반상가 부성빌1층
449,450,명지동,월세,236.87,136.67,-,-,1000,90,부산시 강서구 명지동 일반상가,일반상가4층
450,451,명지동,월세,198,97.2,-,-,2000,120,부산시 강서구 명지동 일반상가,일반상가1층
451,452,명지동,월세,478,478,-,-,10000,460,부산시 강서구 명지동 일반상가,일반상가3층
452,453,명지동,월세,174,105,-,-,500,50,부산시 강서구 명지동 일반상가1,일반상가10층
453,454,명지동,월세,174.12,105,-,-,1000,90,부산시 강서구 명지동 일반상가,일반상가3층
454,455,명지동,월세,169.6,92.72,-,-,2000,90,부산시 강서구 명지동 일반상가,일반상가2층
455,456,명지동,월세,245,142.79,-,-,3000,190,부산시 강서구 명지동 일반상가,일반상가5층
456,457,명지동,월세,167.78,125.9,-,-,3000,120,부산시 강서구 명지동 일반상가,일반상가4층
457,458,명지동,월세,1001,145,-,-,4000,240,부산시 강서구 명지동 일반상가,일반상가2층
458,459,명지동,월세,480,288,-,-,10000,550,부산시 강서구 명지동 일반상가,일반상가3층
459,460,명지동,월세,343.72,151.8,-,-,4000,280,부산시 강서구 명지동 대형사무실1,대형사무실16층
460,461,명지동,월세,317,188,-,-,2000,100,부산시 강서구 명지동 일반상가 플러스존2,일반상가 플러스존24층
461,462,명지동,월세,900,300,-,-,10000,1000,부산시 강서구 명지동 일반상가,일반상가1층
462,463,명지동,월세,1117.6,44.7,-,-,3000,230,부산시 강서구 명지동 복합상가,복합상가1층
463,464,명지동,월세,198.35,99.17,-,-,1000,70,부산시 강서구 명지동 일반상가,일반상가1층
464,465,명지동,월세,212,212,-,-,5000,280,부산시 강서구 명지동 일반상가,일반상가2층
465,466,명지동,월세,333.3,237.6,-,-,4000,160,부산시 강서구 명지동 일반상가,일반상가7층
466,467,명지동,월세,237,237,-,-,3000,200,부산시 강서구 명지동 일반상가,일반상가2층
467,468,명지동,월세,300,144.93,-,-,3000,180,부산시 강서구 명지동 일반상가,일반상가1층
468,469,명지동,월세,300,144.93,-,-,3000,180,부산시 강서구 명지동 일반상가,일반상가1층
469,470,명지동,월세,408.84,245.58,-,-,3000,200,부산시 강서구 명지동 일반상가,일반상가9층
470,471,명지동,월세,345,207.27,-,-,5000,180,부산시 강서구 명지동 복합상가,복합상가6층
471,472,명지동,월세,287.6,167.96,-,-,2000,70,부산시 강서구 명지동 일반상가,일반상가6층
472,473,명지동,월세,195,107,-,-,3000,130,부산시 강서구 명지동 중소형사무실,중소형사무실3층
473,474,명지동,월세,280.03,163.54,-,-,2000,80,부산시 강서구 명지동 일반상가,일반상가6층
474,475,명지동,월세,174.12,105,-,-,1000,60,부산시 강서구 명지동 일반상가1,일반상가10층
475,476,명지동,월세,230.7,89.08,-,-,3000,220,부산시 강서구 명지동 일반상가,일반상가1층
476,477,명지동,월세,221.71,221.71,-,-,3000,210,부산시 강서구 명지동 일반상가,일반상가2층
477,478,명지동,월세,198,108.03,-,-,2000,100,부산시 강서구 명지동 일반상가,일반상가1층
478,479,명지동,월세,221.71,221.71,-,-,3000,210,부산시 강서구 명지동 일반상가,일반상가2층
479,480,명지동,월세,210.81,172.26,-,-,3000,120,부산시 강서구 명지동 복합상가,복합상가4층
480,481,명지동,월세,287.6,46.28,-,-,2000,120,부산시 강서구 명지동 일반상가,일반상가1층
481,482,명지동,월세,214,132,-,-,3000,120,부산시 강서구 명지동 일반상가,일반상가3층
482,483,명지동,월세,492,86,-,-,2000,120,부산시 강서구 명지동 일반상가,일반상가2층
483,484,명지동,월세,809,809,-,-,10000,510,부산시 강서구 명지동 일반상가,일반상가7층
484,485,명지동,월세,296.54,176.26,-,-,2000,150,부산시 강서구 명지동 대형사무실 플러스존2,대형사무실 플러스존24층
485,486,명지동,월세,280,163,-,-,2000,80,부산시 강서구 명지동 일반상가,일반상가6층
486,487,명지동,월세,189,109.61,-,-,2000,70,부산시 강서구 명지동 일반상가,일반상가2층
487,488,명지동,월세,451.29,451.29,-,-,7000,400,부산시 강서구 명지동 일반상가,일반상가9층
488,489,명지동,월세,276.09,276,-,-,5000,300,부산시 강서구 명지동 일반상가,일반상가9층
489,490,명지동,월세,455.11,455.11,-,-,5000,400,부산시 강서구 명지동 일반상가,일반상가6층
490,491,명지동,월세,203.05,111,-,-,4000,340,부산시 강서구 명지동 일반상가,일반상가1층
491,492,명지동,월세,257.12,199.2,-,-,3000,130,부산시 강서구 명지동 일반상가 명호빌딩,일반상가 명호빌딩4층
492,493,명지동,월세,324.52,324.52,-,-,5000,400,부산시 강서구 명지동 일반상가,일반상가2층
493,494,명지동,월세,165.22,66,-,-,1000,80,부산시 강서구 명지동 일반상가,일반상가1층
494,495,명지동,월세,264.5,126.78,-,-,3000,270,부산시 강서구 명지동 일반상가,일반상가1층
495,496,명지동,월세,234.44,136.73,-,-,2000,90,부산시 강서구 명지동 단지내상가,단지내상가6층
496,497,명지동,월세,1047.9,132.07,-,-,2000,130,부산시 강서구 명지동 복합상가,복합상가3층
497,498,명지동,월세,182,105,-,-,2000,100,부산시 강서구 명지동 중소형사무실 퍼스트삼융,중소형사무실 퍼스트삼융2층
498,499,명지동,월세,284,167,-,-,2000,100,부산시 강서구 명지동 일반상가 삼융프라자,일반상가 삼융프라자3층
499,500,명지동,월세,186.23,110.7,-,-,1500,65,부산시 강서구 명지동 일반상가,일반상가3층
500,501,명지동,월세,296.54,176.26,-,-,2000,150,부산시 강서구 명지동 대형사무실 플러스존2,대형사무실 플러스존24층
501,502,명지동,월세,170,72,-,-,1000,110,부산시 강서구 명지동 복합상가,복합상가2층
502,503,명지동,월세,167,75.85,-,-,2000,130,부산시 강서구 명지동 일반상가1,일반상가11층
503,504,명지동,월세,187,113,-,-,1000,40,부산시 강서구 명지동 일반상가 에코팰리스,일반상가 에코팰리스4층
504,505,명지동,월세,186.2,110.7,-,-,1000,60,부산시 강서구 명지동 일반상가 플러스존2,일반상가 플러스존22층
505,506,명지동,월세,587.15,327.14,-,-,3000,250,부산시 강서구 명지동 대형사무실,대형사무실5층
506,507,명지동,월세,184,116,-,-,2000,70,부산시 강서구 명지동 일반상가 대산골든스퀘어,일반상가 대산골든스퀘어5층
507,508,명지동,월세,319.95,319.95,-,-,10000,900,부산시 강서구 명지동 복합상가,복합상가1층
508,509,명지동,월세,483,56,-,-,2000,110,부산시 강서구 명지동 일반상가,일반상가1층
509,510,명지동,월세,209.6,129.05,-,-,2000,110,부산시 강서구 명지동 일반상가,일반상가3층
510,511,명지동,월세,665.53,374.95,-,-,10000,330,부산시 강서구 명지동 일반상가,일반상가6층
511,512,명지동,월세,665.53,374.95,-,-,10000,330,부산시 강서구 명지동 일반상가,일반상가6층
512,513,명지동,월세,665.53,374.95,-,-,10000,330,부산시 강서구 명지동 일반상가,일반상가6층
513,514,명지동,월세,296.54,176.26,-,-,2000,150,부산시 강서구 명지동 대형사무실 플러스존2,대형사무실 플러스존24층
514,515,명지동,월세,184.13,61.64,-,-,5000,250,부산시 강서구 명지동 일반상가,일반상가1층
515,516,명지동,월세,800,56.5,-,-,3000,300,부산시 강서구 명지동 복합상가,복합상가1층
516,517,명지동,월세,174,105,-,-,500,50,부산시 강서구 명지동 일반상가1,일반상가10층
517,518,명지동,월세,875.1,208.93,-,-,3000,250,부산시 강서구 명지동 복합상가,복합상가2층
518,519,명지동,월세,244.9,142.7,-,-,3000,190,부산시 강서구 명지동 일반상가,일반상가5층
519,520,명지동,월세,183.99,114.37,-,-,2000,80,부산시 강서구 명지동 일반상가,일반상가2층
520,521,명지동,월세,9950.5,63.81,-,-,1000,70,부산시 강서구 명지동 복합상가,복합상가3층
521,522,명지동,월세,2641.7,48,-,-,2000,90,부산시 강서구 명지동 복합상가,복합상가1층
522,523,명지동,월세,175,131.32,-,-,2000,165,부산시 강서구 명지동 일반상가,일반상가3층
523,524,명지동,월세,331.38,146.35,-,-,3000,230,부산시 강서구 명지동 중소형사무실1,중소형사무실17층
524,525,명지동,월세,1117,44.08,-,-,3000,100,부산시 강서구 명지동 복합상가,복합상가1층
525,526,명지동,월세,268.8,66,-,-,2000,130,부산시 강서구 명지동 일반상가,일반상가1층
526,527,명지동,월세,1101.5,60.4,-,-,5000,300,부산시 강서구 명지동 복합상가,복합상가1층
527,528,명지동,월세,309,165.02,-,-,4000,330,부산시 강서구 명지동 일반상가,일반상가1층
528,529,명지동,월세,345.05,207.27,-,-,5000,180,부산시 강서구 명지동 일반상가,일반상가6층
529,530,명지동,월세,206.25,128.52,-,-,3000,130,부산시 강서구 명지동 일반상가,일반상가3층
530,531,명지동,월세,188.08,175.56,-,-,3000,130,부산시 강서구 명지동 일반상가,일반상가5층
531,532,명지동,월세,166,96.25,-,-,2000,100,부산시 강서구 명지동 일반상가,일반상가2층
532,533,명지동,월세,294.99,294.99,-,-,5000,200,부산시 강서구 명지동 대형사무실 금송빌딩,대형사무실 금송빌딩3층
533,534,명지동,월세,200.6,200.6,-,-,3000,140,부산시 강서구 명지동 일반상가 플러스시티,일반상가 플러스시티8층
534,535,명지동,월세,317,188,-,-,2000,120,부산시 강서구 명지동 일반상가 플러스존2,일반상가 플러스존25층
535,536,명지동,월세,182,105,-,-,1000,120,부산시 강서구 명지동 일반상가,일반상가2층
536,537,명지동,월세,287.6,168,-,-,2000,80,부산시 강서구 명지동 일반상가 플러스타워1,일반상가 플러스타워11층
537,538,명지동,월세,183.97,180,-,-,2000,120,부산시 강서구 명지동 일반상가,일반상가6층
538,539,명지동,월세,286,167,-,-,2000,90,부산시 강서구 명지동 일반상가,일반상가6층
539,540,명지동,월세,276.81,159.6,-,-,2000,130,부산시 강서구 명지동 중소형사무실,중소형사무실3층
540,541,명지동,월세,166.31,103.63,-,-,2000,80,부산시 강서구 명지동 일반상가 대산골든스퀘어,일반상가 대산골든스퀘어7층
541,542,명지동,월세,195.03,113.74,-,-,2000,100,부산시 강서구 명지동 일반상가,일반상가2층
542,543,명지동,월세,262,151,-,-,2000,150,부산시 강서구 명지동 중소형사무실 퍼스트삼융,중소형사무실 퍼스트삼융2층
543,544,명지동,월세,262,151,-,-,2000,150,부산시 강서구 명지동 중소형사무실 퍼스트삼융,중소형사무실 퍼스트삼융2층
544,545,명지동,월세,308.56,308.56,-,-,10000,1000,부산시 강서구 명지동 일반상가,일반상가1층
545,546,명지동,월세,196,113,-,-,3000,150,부산시 강서구 명지동 일반상가,일반상가4층
546,547,명지동,월세,300,140,-,-,2000,120,부산시 강서구 명지동 일반상가 모아진,일반상가 모아진2층
547,548,명지동,월세,285.4,126,-,-,3000,200,부산시 강서구 명지동 중소형사무실2,중소형사무실21층
548,549,명지동,월세,495,495,-,-,10000,460,부산시 강서구 명지동 일반상가,일반상가2층
549,550,명지동,월세,182.47,182.47,-,-,3000,250,부산시 강서구 명지동 일반상가,일반상가1층
550,551,명지동,월세,212,132,-,-,3000,180,부산시 강서구 명지동 일반상가,일반상가6층
551,552,명지동,월세,578.77,496,-,-,10000,460,부산시 강서구 명지동 일반상가,일반상가2층
552,553,명지동,월세,205,115,-,-,1000,100,부산시 강서구 명지동 일반상가 에스엠빌딩,일반상가 에스엠빌딩5층
553,554,명지동,월세,221.71,221.71,-,-,3000,210,부산시 강서구 명지동 일반상가,일반상가2층
554,555,명지동,월세,264.46,155.37,-,-,3000,130,부산시 강서구 명지동 일반상가,일반상가2층
555,556,명지동,월세,284.37,195.75,-,-,5000,300,부산시 강서구 명지동 일반상가,일반상가2층
556,557,명지동,월세,178,148,-,-,5000,350,부산시 강서구 명지동 일반상가,일반상가1층
557,558,명지동,월세,170.05,95.48,-,-,1000,50,부산시 강서구 명지동 복합상가,복합상가5층
558,559,명지동,월세,-,-,661.16,-,2500,250,부산시 강서구 명지동 답,답
559,560,명지동,월세,247.94,247.94,-,-,7000,300,부산시 강서구 명지동 일반상가,일반상가3층
560,561,명지동,월세,345,180,-,-,2000,130,부산시 강서구 명지동 일반상가,일반상가4층
561,562,명지동,월세,195.03,113.74,-,-,2000,100,부산시 강서구 명지동 일반상가,일반상가2층
562,563,명지동,월세,298.28,180,-,-,2000,180,부산시 강서구 명지동 일반상가,일반상가3층
563,564,명지동,월세,228.7,228.7,-,-,10000,320,부산시 강서구 명지동 일반상가,일반상가3층
564,565,명지동,월세,304,134,-,-,3000,220,부산시 강서구 명지동 일반사무실1,일반사무실11층
565,566,명지동,월세,212,132,-,-,3000,180,부산시 강서구 명지동 일반상가,일반상가6층
566,567,명지동,월세,336.06,194.88,-,-,3000,170,부산시 강서구 명지동 일반상가,일반상가9층
567,568,명지동,월세,352.04,352.04,-,-,10000,900,부산시 강서구 명지동 일반상가,일반상가1층
568,569,명지동,월세,165.02,165.02,-,-,4000,330,부산시 강서구 명지동 일반상가,일반상가1층
569,570,명지동,월세,212,132,-,-,3000,180,부산시 강서구 명지동 일반상가,일반상가6층
570,571,명지동,월세,260.8,140.22,-,-,3000,160,부산시 강서구 명지동 일반상가,일반상가1층
571,572,명지동,월세,212.7,88.7,-,-,2000,120,부산시 강서구 명지동 일반상가,일반상가4층
572,573,명지동,월세,871.26,500.11,-,-,6000,400,부산시 강서구 명지동 일반상가,일반상가6층
573,574,명지동,월세,260.8,140.22,-,-,3000,160,부산시 강서구 명지동 일반상가,일반상가1층
574,575,명지동,월세,215,215,-,-,3000,200,부산시 강서구 명지동 일반상가,일반상가3층
575,576,명지동,월세,685.34,422.45,-,-,7000,600,부산시 강서구 명지동 일반상가,일반상가4층
576,577,명지동,월세,290.8,128.4,-,-,3000,200,부산시 강서구 명지동 중소형사무실1,중소형사무실18층
577,578,명지동,월세,289.06,127.66,-,-,3000,200,부산시 강서구 명지동 중소형사무실1,중소형사무실19층
578,579,명지동,월세,414.55,414.54,-,-,9000,600,부산시 강서구 명지동 복합상가,복합상가4층
579,580,명지동,매매,789.38,470.88,-,"9억 9,000",-,-,부산시 강서구 명지동 일반상가,일반상가9층
580,581,명지동,매매,-,-,7232,140억,-,-,부산시 강서구 명지동,대
581,582,명지동,매매,-,-,172,"2억 9,000",-,-,부산시 강서구 명지동,대
582,583,명지동,매매,-,-,734,35억,-,-,부산시 강서구 명지동 답,답
583,584,명지동,매매,250.52,156.09,-,"4억 3,000",-,-,부산시 강서구 명지동 일반상가,일반상가5층
584,585,명지동,매매,176.69,100.04,-,"4억 9,000",-,-,부산시 강서구 명지동 일반상가,일반상가2층
585,586,명지동,매매,1131,1131,-,33억,-,-,부산시 강서구 명지동 일반상가1,일반상가10층
586,587,명지동,매매,-,-,294,8억,-,-,부산시 강서구 명지동,대
587,588,명지동,매매,166.7,99.44,-,"2억 6,000",-,-,부산시 강서구 명지동 일반상가,일반상가4층
588,589,명지동,매매,-,-,198,6억,-,-,부산시 강서구 명지동,대
589,590,명지동,매매,204.35,119.34,-,"2억 7,000",-,-,부산시 강서구 명지동 일반상가 플러스타워,일반상가 플러스타워8층
590,591,명지동,매매,209.38,145.62,-,"1억 9,000",-,-,부산시 강서구 명지동 일반상가,일반상가3층
591,592,명지동,매매,459,459,-,"9억 9,000",-,-,부산시 강서구 명지동 일반상가,일반상가9층
592,593,명지동,매매,407,225,-,"3억 7,000",-,-,부산시 강서구 명지동 일반상가 플러스시티,일반상가 플러스시티9층
593,594,명지동,매매,290.8,128.4,-,"4억 1,500",-,-,부산시 강서구 명지동 중소형사무실1,중소형사무실18층
594,595,명지동,매매,-,-,270,"9억 5,000",-,-,부산시 강서구 명지동,대
595,596,명지동,매매,-,-,1364.8,100억,-,-,부산시 강서구 명지동,대
596,597,명지동,매매,-,-,2908,65억,-,-,부산시 강서구 명지동,대
597,598,명지동,매매,174,105,-,"2억 3,000",-,-,부산시 강서구 명지동 일반상가,일반상가8층
598,599,명지동,매매,300,207,-,"5억 3,000",-,-,부산시 강서구 명지동 일반상가 포스코3천세대 바로앞상가 투자로굿,일반상가 포스코3천세대 바로앞상가 투자로굿9층
599,600,명지동,매매,-,-,255.3,"6억 9,500",-,-,부산시 강서구 명지동,대
600,601,명지동,매매,950.6,554,-,"16억 8,000",-,-,부산시 강서구 명지동 일반상가 티에스스퀘어,일반상가 티에스스퀘어6층
601,602,명지동,매매,224.11,133.21,-,"6억 5,000",-,-,부산시 강서구 명지동 일반상가,일반상가2층
602,603,명지동,매매,234.7,134.9,-,"2억 7,000",-,-,부산시 강서구 명지동 복합상가 서린프라자,복합상가 서린프라자6층
603,604,명지동,매매,332.21,190.26,-,"3억 9,000",-,-,부산시 강서구 명지동 복합상가,복합상가6층
604,605,명지동,매매,-,-,260.7,8억,-,-,부산시 강서구 명지동,대
605,606,명지동,매매,-,-,342.5,"9억 8,000",-,-,부산시 강서구 명지동,대
606,607,명지동,매매,1001.5,80.43,-,"2억 8,000",-,-,부산시 강서구 명지동 복합상가,복합상가4층
607,608,명지동,매매,-,-,291,"9억 5,000",-,-,부산시 강서구 명지동,대
608,609,명지동,매매,200,130.56,-,6억,-,-,부산시 강서구 명지동 일반상가,일반상가2층
609,610,명지동,매매,300,180,-,"6억 3,000",-,-,부산시 강서구 명지동 복합상가 중심근린상가건물,복합상가 중심근린상가건물3층
610,611,명지동,매매,-,-,398,11억,-,-,부산시 강서구 명지동,대
611,612,명지동,매매,-,-,467,25억,-,-,부산시 강서구 명지동,대
612,613,명지동,매매,4068.26,2346.92,-,35억,-,-,부산시 강서구 명지동 일반상가B,일반상가B2층
613,614,명지동,매매,4068.26,2346.92,-,35억,-,-,부산시 강서구 명지동 일반상가B,일반상가B2층
614,615,명지동,매매,901.69,901.69,-,18억,-,-,부산시 강서구 명지동 일반상가,일반상가9층
615,616,명지동,매매,486.19,242.59,-,"6억 5,000",-,-,부산시 강서구 명지동 일반상가,일반상가9층
616,617,명지동,매매,-,-,241,8억,-,-,부산시 강서구 명지동,대
617,618,명지동,매매,235.12,140.25,-,"4억 5,000",-,-,부산시 강서구 명지동 일반상가,일반상가2층
618,619,명지동,매매,235.12,140.25,-,"4억 5,000",-,-,부산시 강서구 명지동 일반상가,일반상가2층
619,620,명지동,매매,-,-,342.5,"9억 8,000",-,-,부산시 강서구 명지동,대
620,621,명지동,매매,-,-,1632,92억,-,-,부산시 강서구 명지동,대
621,622,명지동,매매,-,-,1323,40억,-,-,부산시 강서구 명지동 답,답
622,623,명지동,매매,1501.1,901.69,-,22억,-,-,부산시 강서구 명지동 일반상가,일반상가9층
623,624,명지동,매매,-,-,2222,60억,-,-,부산시 강서구 명지동,대
624,625,명지동,매매,-,-,956,42억,-,-,부산시 강서구 명지동,대
625,626,명지동,매매,52908,47088,-,"9억 9,000",-,-,부산시 강서구 명지동 일반상가,일반상가9층
626,627,명지동,매매,235.12,140.25,-,"4억 5,000",-,-,부산시 강서구 명지동 일반상가,일반상가2층
627,628,명지동,매매,-,-,260.8,"6억 7,000",-,-,부산시 강서구 명지동,대
628,629,명지동,매매,-,-,1589,97억,-,-,부산시 강서구 명지동,대
629,630,명지동,매매,-,-,762,23억,-,-,부산시 강서구 명지동,대
630,631,명지동,매매,-,-,342.5,"9억 8,000",-,-,부산시 강서구 명지동,대
631,632,명지동,매매,195.41,141.08,-,4억,-,-,부산시 강서구 명지동 일반상가,일반상가2층
632,633,명지동,매매,-,-,1110,"16억 8,000",-,-,부산시 강서구 명지동 답,답
633,634,명지동,매매,244.9,142.7,-,6억,-,-,부산시 강서구 명지동 일반상가 티에스스퀘어,일반상가 티에스스퀘어3층
634,635,명지동,매매,-,-,680,"8억 2,000",-,-,부산시 강서구 명지동 임야,임야
635,636,명지동,매매,-,-,1110,"16억 8,000",-,-,부산시 강서구 명지동 답,답
636,637,명지동,매매,365.74,207.07,-,"5억 3,000",-,-,부산시 강서구 명지동 일반상가,일반상가9층
637,638,명지동,매매,285.41,164.45,-,"3억 9,000",-,-,부산시 강서구 명지동 일반상가 더프라임,일반상가 더프라임9층
638,639,명지동,매매,285.41,164.45,-,"3억 9,000",-,-,부산시 강서구 명지동 일반상가 더프라임,일반상가 더프라임9층
639,640,명지동,매매,285.41,164.45,-,"3억 9,000",-,-,부산시 강서구 명지동 일반상가 더프라임,일반상가 더프라임9층
640,641,명지동,매매,347,246,-,9억,-,-,부산시 강서구 명지동 복합상가,복합상가9층
641,642,명지동,매매,208.79,126,-,5억,-,-,부산시 강서구 명지동 일반상가,일반상가2층
642,643,명지동,매매,216.1,113.4,-,4억,-,-,부산시 강서구 명지동 일반상가 네오웨스턴스퀘어,일반상가 네오웨스턴스퀘어3층
643,644,명지동,매매,-,-,198,6억,-,-,부산시 강서구 명지동,대
644,645,명지동,매매,406,226,-,"3억 7,000",-,-,부산시 강서구 명지동 일반상가,일반상가9층
645,646,명지동,매매,248.8,130.56,-,"3억 5,000",-,-,부산시 강서구 명지동 일반상가,일반상가2층
646,647,명지동,매매,287.6,167.96,-,"2억 9,000",-,-,부산시 강서구 명지동 일반상가 플러스타워1,일반상가 플러스타워10층
647,648,명지동,매매,174.51,140.25,-,"4억 5,000",-,-,부산시 강서구 명지동 일반상가,일반상가2층
648,649,명지동,매매,228.8,228.8,-,12억,-,-,부산시 강서구 명지동 일반상가,일반상가3층
649,650,명지동,매매,-,-,200.3,4억,-,-,부산시 강서구 명지동,대
650,651,명지동,매매,-,-,200.3,4억,-,-,부산시 강서구 명지동,대
651,652,명지동,매매,-,-,276.5,"7억 7,000",-,-,부산시 강서구 명지동,대
652,653,명지동,매매,-,-,2010,73억 800,-,-,부산시 강서구 명지동,대
653,654,명지동,매매,228.64,132.46,-,"3억 9,000",-,-,부산시 강서구 명지동 일반상가,일반상가6층
654,655,명지동,매매,166.31,73.45,-,"3억 7,000",-,-,부산시 강서구 명지동 중소형사무실,중소형사무실8층
655,656,명지동,매매,-,-,200.2,5억,-,-,부산시 강서구 명지동,대
656,657,명지동,매매,1506.59,1051.68,-,26억,-,-,부산시 강서구 명지동 일반상가,일반상가6층
657,658,명지동,매매,-,-,3963.7,250억,-,-,부산시 강서구 명지동,대
658,659,명지동,매매,-,-,680,"8억 2,000",-,-,부산시 강서구 명지동 임야,임야
