품목,2021.1분기,2021.2분기,2021.3분기,2021.4분기
주류,8880,9104,8167,9794
담배류,6088,6467,6237,6474
육류 ,10944,12275,12308,13316
식품류,50763,53125,54036,58154
전자제품,159,151,127,174
조리기구,166,119,163,168
선박부품,3401,3659,3571,3577
악세사리,0,0,0,0
유류,1185,1199,869,878
조건부선용품,3671,4425,3028,3160
선박폐기물,0,0,0,0
기타,9265,8991,8821,9641
