품목,2022.1분기,2022.2분기,2022.3분기,2022.4분기
주류,9074,9425,8831,10622
담배류,6261,6455,6570,6836
육류 ,13191,14396,14613,15539
식품류,57537,60164,62301,62251
전자제품,133,167,134,159
조리기구,168,145,59,164
선박부품,3452,3641,3805,3760
악세사리,0,0,0,0
유류,727,813,742,627
조건부선용품,4061,3830,3169,3635
선박폐기물,0,0,0,0
기타,9736,9784,9392,10029
