선사코드,선사명,접안시간,출항시간,체류시간,체류시간_day,체류시간_time,체류시간_totalTime(시간),상태
APL,SIMA SAPPHIRE,2015-04-02 15:00,2015-04-03 8:00,0 days 17:00:00,0,17,17,DEPARTED
DJS,DONGJIN TOKUYAMA,2015-04-02 23:00,2015-04-03 7:00,0 days 08:00:00,0,8,8,DEPARTED
BLA,KATRIN S,2015-04-03 10:00,2015-04-04 13:00,1 days 03:00:00,1,3,27,DEPARTED
HMM,HYUNDAI FORWARD,2015-04-03 10:20,2015-04-03 21:00,0 days 10:40:00,0,10,10,DEPARTED
HAS,NOVA JST1,2015-04-03 12:00,2015-04-03 22:00,0 days 10:00:00,0,10,10,DEPARTED
SKR,HAN SE,2015-04-03 12:30,2015-04-03 17:30,0 days 05:00:00,0,5,5,DEPARTED
MAE,JPO SCORPIUS,2015-04-04 1:00,2015-04-04 6:00,0 days 05:00:00,0,5,5,DEPARTED
APL,APL PHILIPPINES,2015-04-04 2:00,2015-04-04 12:00,0 days 10:00:00,0,10,10,DEPARTED
MSC,MSC PAMELA,2015-04-04 8:00,2015-04-04 14:00,0 days 06:00:00,0,6,6,DEPARTED
SKR,SINOKOR ULSAN,2015-04-04 14:00,2015-04-04 18:00,0 days 04:00:00,0,4,4,DEPARTED
HMM,HYUNDAI LONG,2015-04-04 17:00,2015-04-05 4:00,0 days 11:00:00,0,11,11,DEPARTED
APL,COLOMBO SKX,2015-04-05 4:00,2015-04-05 11:00,0 days 07:00:00,0,7,7,DEPARTED
SKR,HAN PO,2015-04-05 7:00,2015-04-05 12:00,0 days 05:00:00,0,5,5,DEPARTED
MAE,SAFMARINE MERU,2015-04-05 9:00,2015-04-05 21:00,0 days 12:00:00,0,12,12,DEPARTED
HMM,HYUNDAI INTEGRAL,2015-04-05 11:50,2015-04-05 22:00,0 days 10:10:00,0,10,10,DEPARTED
APL,APL THAILAND,2015-04-05 18:00,2015-04-06 7:00,0 days 13:00:00,0,13,13,DEPARTED
KKL,SAN FRANCISCO,2015-04-06 0:10,2015-04-06 15:00,0 days 14:50:00,0,14,14,DEPARTED
MAE,SKAGEN MAERSK,2015-04-06 6:00,2015-04-07 1:00,0 days 19:00:00,0,19,19,DEPARTED
APL,APL VANCOUVER,2015-04-06 17:00,2015-04-07 8:00,0 days 15:00:00,0,15,15,DEPARTED
HAS,NOVA JST1,2015-04-06 23:00,2015-04-07 10:00,0 days 11:00:00,0,11,11,DEPARTED
MAE,MAYVIEW MAERSK,2015-04-07 3:00,2015-04-08 2:00,0 days 23:00:00,0,23,23,DEPARTED
MAE,MARIE MAERSK,2015-04-07 12:00,2015-04-08 4:00,0 days 16:00:00,0,16,16,DEPARTED
SKR,HAN PO,2015-04-07 15:00,2015-04-07 17:00,0 days 02:00:00,0,2,2,DEPARTED
OOL,BARDU NPS,2015-04-08 4:10,2015-04-08 10:00,0 days 05:50:00,0,5,5,DEPARTED
APL,WEHR TRAVE,2015-04-08 5:00,2015-04-08 15:00,0 days 10:00:00,0,10,10,DEPARTED
NYK,NYK DEMETER,2015-04-08 7:00,2015-04-08 21:00,0 days 14:00:00,0,14,14,DEPARTED
SKR,SINOKOR ULSAN,2015-04-08 7:40,2015-04-08 12:00,0 days 04:20:00,0,4,4,DEPARTED
BLA,HANJIN MUNDRA,2015-04-08 14:00,2015-04-09 6:00,0 days 16:00:00,0,16,16,DEPARTED
CMA,CMA CGM,2015-04-08 19:00,2015-04-09 10:00,0 days 15:00:00,0,15,15,DEPARTED
APL,COLOMBO SKX,2015-04-09 8:10,2015-04-09 19:00,0 days 10:50:00,0,10,10,DEPARTED
APL,APL JAPAN,2015-04-09 8:15,2015-04-09 18:20,0 days 10:05:00,0,10,10,DEPARTED
SKR,SINOKOR INCHEON,2015-04-09 12:00,2015-04-09 14:50,0 days 02:50:00,0,2,2,DEPARTED
NYK,NYK RUMINA,2015-04-09 13:10,2015-04-10 10:00,0 days 20:50:00,0,20,20,DEPARTED
